airportName,year,pax,movements
ABERDEEN,2001,1520587,41872
BARRA,2001,8509,1111
BELFAST CITY (GEORGE BEST),2001,1187575,32174
BELFAST INTERNATIONAL,2001,2612225,37767
BENBECULA,2001,34113,2109
BIGGIN HILL,2001,1575,301
BIRMINGHAM,2001,1157283,29914
BLACKPOOL,2001,15986,1508
BOURNEMOUTH,2001,381,2882
BRISTOL,2001,545100,17542
CAMBRIDGE,2001,139,10
CAMPBELTOWN,2001,8037,961
CARDIFF WALES,2001,100340,6298
CITY OF DERRY (EGLINTON),2001,151919,3352
COVENTRY,2001,34,3158
DONCASTER SHEFFIELD,2001,0,0
DUNDEE,2001,46914,2602
DURHAM TEES VALLEY,2001,181014,4344
EAST MIDLANDS INTERNATIONAL,2001,327165,13034
EDINBURGH,2001,4245094,70475
EXETER,2001,101461,5039
GATWICK,2001,2977293,41743
GLASGOW,2001,3821314,62963
GLOUCESTERSHIRE,2001,0,2
HAWARDEN,2001,0,104
HEATHROW,2001,6633511,63078
HUMBERSIDE,2001,28734,3337
INVERNESS,2001,333642,8635
ISLAY,2001,19532,1110
ISLE OF MAN,2001,649300,21087
ISLES OF SCILLY (ST.MARYS),2001,131845,11189
KENT INTERNATIONAL,2001,0,8
KIRKWALL,2001,86408,7365
LANDS END (ST JUST),2001,0,0
LEEDS BRADFORD,2001,437619,12824
LERWICK (TINGWALL),2001,1971,663
LIVERPOOL (JOHN LENNON),2001,699071,15401
LONDON CITY,2001,454787,19104
LUTON,2001,1751938,16354
LYDD,2001,0,2
MANCHESTER,2001,2798186,51109
NEWCASTLE,2001,1015597,23281
NEWQUAY,2001,0,0
NORWICH,2001,96006,7001
OXFORD (KIDLINGTON),2001,0,0
PLYMOUTH,2001,77591,5190
PRESTWICK,2001,630029,5746
SCATSTA,2001,0,3340
SHOREHAM,2001,0,332
SOUTHAMPTON,2001,614830,19977
SOUTHEND,2001,114,75
STANSTED,2001,2002829,28120
STORNOWAY,2001,87457,3703
SUMBURGH,2001,112003,3805
TIREE,2001,0,597
WICK JOHN O GROATS,2001,17880,2103
ABERDEEN,2002,1466966,36640
BARRA,2002,8285,1092
BELFAST CITY (GEORGE BEST),2002,1885412,36698
BELFAST INTERNATIONAL,2002,2678813,32840
BENBECULA,2002,31534,2093
BIGGIN HILL,2002,294,113
BIRMINGHAM,2002,1210211,28704
BLACKPOOL,2002,14158,1634
BOURNEMOUTH,2002,9932,4364
BRISTOL,2002,922116,20114
CAMBRIDGE,2002,0,3
CAMPBELTOWN,2002,8152,978
CARDIFF WALES,2002,96343,3889
CITY OF DERRY (EGLINTON),2002,166142,2929
COVENTRY,2002,611,2740
DONCASTER SHEFFIELD,2002,0,0
DUNDEE,2002,44023,2762
DURHAM TEES VALLEY,2002,178864,4238
EAST MIDLANDS INTERNATIONAL,2002,543517,15397
EDINBURGH,2002,5074382,78321
EXETER,2002,82139,3009
GATWICK,2002,3417944,47542
GLASGOW,2002,4291764,61216
GLOUCESTERSHIRE,2002,0,0
HAWARDEN,2002,0,87
HEATHROW,2002,6672376,60878
HUMBERSIDE,2002,31255,3842
INVERNESS,2002,352355,9531
ISLAY,2002,20653,1123
ISLE OF MAN,2002,678907,22684
ISLES OF SCILLY (ST.MARYS),2002,146104,12173
KENT INTERNATIONAL,2002,0,7
KIRKWALL,2002,98028,7955
LANDS END (ST JUST),2002,0,0
LEEDS BRADFORD,2002,473881,14885
LERWICK (TINGWALL),2002,2068,587
LIVERPOOL (JOHN LENNON),2002,730974,14781
LONDON CITY,2002,416679,16792
LUTON,2002,1740510,15778
LYDD,2002,0,0
MANCHESTER,2002,2722163,49287
NEWCASTLE,2002,1158145,21728
NEWQUAY,2002,0,0
NORWICH,2002,89244,5291
OXFORD (KIDLINGTON),2002,0,3721
PLYMOUTH,2002,60293,3721
PRESTWICK,2002,695843,6190
SCATSTA,2002,0,2858
SHOREHAM,2002,0,337
SOUTHAMPTON,2002,553641,19872
SOUTHEND,2002,306,107
STANSTED,2002,2446090,28088
STORNOWAY,2002,92526,4365
SUMBURGH,2002,112426,3826
TIREE,2002,5293,611
WICK JOHN O GROATS,2002,17372,2177
