airportName,year,pax,movements
BELFAST INTERNATIONAL,2018,6268953,50000
BELFAST INTERNATIONAL,2017,5836735,50000
BELFAST INTERNATIONAL,2016,5147399,50000
BELFAST INTERNATIONAL,2015,4389861,50000
BELFAST INTERNATIONAL,2014,4031685,50973
BELFAST INTERNATIONAL,2013,4022469,54003
BELFAST INTERNATIONAL,2012,4312441,58011
BELFAST INTERNATIONAL,2011,4101914,57460
BELFAST INTERNATIONAL,2010,4010972,50000
BELFAST INTERNATIONAL,2009,4536498,50000
BELFAST INTERNATIONAL,2008,5222839,50000
BELFAST INTERNATIONAL,2007,5236055,50000
BELFAST INTERNATIONAL,2006,5015264,50000
BELFAST INTERNATIONAL,2005,4819512,50000
BELFAST INTERNATIONAL,2004,4402500,50000
BELFAST INTERNATIONAL,2003,3954432,50000
BELFAST INTERNATIONAL,2002,3551103,50000
BELFAST INTERNATIONAL,2001,3602702,50000
